league,season,date,home_team,away_team,FTHG,FTAG,FTR,home_xg,away_xg,home_elo,away_elo,elo_diff,home_form_l5,home_form_l10,home_finishing_efficiency_l5,home_finishing_efficiency_l10,home_attacking_xg_l5,home_attacking_xg_l10,home_defensive_xg_l5,home_defensive_xg_l10,home_rest_days,away_form_l5,away_form_l10,away_finishing_efficiency_l5,away_finishing_efficiency_l10,away_attacking_xg_l5,away_attacking_xg_l10,away_defensive_xg_l5,away_defensive_xg_l10,away_rest_days,form_diff_l5,form_diff_l10,attack_vs_defense_l5,defense_vs_attack_l5
ITA-Serie A,2526,2026-08-03,Milan,Inter,,,,,,1833.3190918,1935.36364746,-102.04455566,3.0,3.0,-0.35768999999999984,-0.35768999999999984,3.35769,3.35769,0.440526,0.440526,71.0,3.0,3.0,2.24888,2.24888,2.75112,2.75112,0.721597,0.721597,71.0,0.0,0.0,2.636093,-2.310594
ITA-Serie A,2526,2026-08-03,Bologna,Verona,,,,,,1688.95678711,1533.97607422,154.98071288999995,0.0,0.0,-1.64658,-1.64658,1.64658,1.64658,0.193041,0.193041,71.0,1.0,1.0,-0.0783843,-0.0783843,0.0783843,0.0783843,1.26143,1.26143,71.0,-1.0,-1.0,0.3851499999999999,0.11465669999999999
FRA-Ligue 1,2526,2026-08-05,Angers,Strasbourg,,,,,,1570.98925781,1693.69299316,-122.70373535,3.0,3.0,-0.17089,-0.17089,1.17089,1.17089,0.691991,0.691991,33.0,0.0,0.0,0.48706000000000005,0.48706000000000005,0.51294,0.51294,0.856821,0.856821,33.0,3.0,3.0,0.31406899999999993,0.17905100000000007
FRA-Ligue 1,2526,2026-08-05,Auxerre,Nice,,,,,,1559.32299805,1590.06481934,-30.74182128999996,1.0,1.0,-1.27393,-1.27393,1.27393,1.27393,0.758207,0.758207,33.0,1.0,1.0,-0.455943,-0.455943,0.455943,0.455943,0.827302,0.827302,33.0,0.0,0.0,0.446628,0.302264
FRA-Ligue 1,2526,2026-08-05,Le Havre,Marseille,,,,,,1566.65551758,1738.30224609,-171.64672851,3.0,3.0,1.143179,1.143179,0.856821,0.856821,0.51294,0.51294,33.0,0.0,0.0,-0.90611,-0.90611,0.90611,0.90611,4.63077,4.63077,33.0,3.0,3.0,-3.773949,-0.39317
FRA-Ligue 1,2526,2026-08-05,Lens,Nantes,,,,,,1756.93359375,1519.63806152,237.29553222999996,3.0,3.0,-0.6036699999999999,-0.6036699999999999,1.60367,1.60367,0.407119,0.407119,33.0,0.0,0.0,-0.20178999999999991,-0.20178999999999991,1.20179,1.20179,0.777027,0.777027,33.0,3.0,3.0,0.8266429999999999,-0.7946709999999999
FRA-Ligue 1,2526,2026-08-05,Metz,Lorient,,,,,,1521.32727051,1616.08728027,-94.76000976,1.0,1.0,-0.397871,-0.397871,0.397871,0.397871,1.34676,1.34676,33.0,0.0,0.0,1.222973,1.222973,0.777027,0.777027,1.20179,1.20179,33.0,1.0,1.0,-0.8039189999999999,0.5697329999999999
FRA-Ligue 1,2526,2026-08-05,Monaco,Lille,,,,,,1681.03063965,1700.66760254,-19.63696288999995,1.0,1.0,-0.827302,-0.827302,0.827302,0.827302,0.455943,0.455943,33.0,1.0,1.0,-0.390671,-0.390671,0.390671,0.390671,0.616999,0.616999,33.0,0.0,0.0,0.21030300000000002,0.065272
FRA-Ligue 1,2526,2026-08-05,Paris SG,Brest,,,,,,1957.35595703,1642.77844238,314.57751465,3.0,3.0,0.36922999999999995,0.36922999999999995,4.17604,4.17604,1.80204,1.80204,33.0,3.0,3.0,0.16494999999999993,0.16494999999999993,1.83505,1.83505,1.2009,1.2009,33.0,0.0,0.0,2.9751400000000006,-0.033009999999999984
FRA-Ligue 1,2526,2026-08-05,Rennes,Paris FC,,,,,,1653.82189941,1541.73071289,112.09118652000006,0.0,0.0,-0.427968,-0.427968,1.80204,1.80204,4.17604,4.17604,33.0,1.0,1.0,-0.758207,-0.758207,0.758207,0.758207,1.27393,1.27393,33.0,-1.0,-1.0,0.5281100000000001,3.4178330000000003
FRA-Ligue 1,2526,2026-08-05,Toulouse,Lyon,,,,,,1652.88696289,1768.59082031,-115.70385742000008,0.0,0.0,-0.691991,-0.691991,0.691991,0.691991,1.17089,1.17089,33.0,3.0,3.0,0.38300100000000004,0.38300100000000004,0.616999,0.616999,0.390671,0.390671,33.0,-3.0,-3.0,0.30132000000000003,0.553891
ENG-Premier League,2526,2026-09-05,Brighton,Wolves,,,,,,1825.00793457,1673.60400391,151.40393066,0.0,0.0,-0.481306,-0.6095519999999999,0.481306,0.6095519999999995,0.576138,0.7522709999999999,104.0,1.0,1.0,-0.406959,-0.406959,0.406959,0.406959,3.69094,3.69094,104.0,-1.0,-1.0,-3.209634,0.16917900000000002
