league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2324,2024-03-02 Bochum-RasenBallsport Leipzig,3,2023,23278,2024-03-02 14:30:00,268,136,Bochum,RasenBallsport Leipzig,RBL,BOC,1,4,0.562887,2.11704,True,True,https://understat.com/match/23278
GER-Bundesliga,2324,2024-03-02 Darmstadt-Augsburg,3,2023,23280,2024-03-02 14:30:00,127,121,Darmstadt,Augsburg,AUG,DAR,0,6,1.113,3.39611,True,True,https://understat.com/match/23280
GER-Bundesliga,2324,2024-03-02 FC Heidenheim-Eintracht Frankfurt,3,2023,23279,2024-03-02 14:30:00,280,132,FC Heidenheim,Eintracht Frankfurt,EIN,HEI,1,2,0.847831,1.57778,True,True,https://understat.com/match/23279
GER-Bundesliga,2324,2024-03-02 Mainz 05-Borussia M.Gladbach,3,2023,23275,2024-03-02 14:30:00,125,130,Mainz 05,Borussia M.Gladbach,BMG,MAI,1,1,1.08864,1.55082,True,True,https://understat.com/match/23275
GER-Bundesliga,2324,2024-03-02 Union Berlin-Borussia Dortmund,3,2023,23272,2024-03-02 14:30:00,240,129,Union Berlin,Borussia Dortmund,DOR,UNI,0,2,0.999042,1.63921,True,True,https://understat.com/match/23272
GER-Bundesliga,2324,2024-03-02 Wolfsburg-VfB Stuttgart,3,2023,23274,2024-03-02 17:30:00,131,133,Wolfsburg,VfB Stuttgart,STU,WOL,2,3,0.964288,1.04058,True,True,https://understat.com/match/23274
GER-Bundesliga,2324,2024-03-03 FC Cologne-Bayer Leverkusen,3,2023,23276,2024-03-03 14:30:00,134,119,FC Cologne,Bayer Leverkusen,LEV,COL,0,2,1.29405,1.63841,True,True,https://understat.com/match/23276
GER-Bundesliga,2324,2024-03-03 Hoffenheim-Werder Bremen,3,2023,23277,2024-03-03 16:30:00,120,123,Hoffenheim,Werder Bremen,WER,HOF,2,1,2.06582,1.34942,True,True,https://understat.com/match/23277
GER-Bundesliga,2324,2024-03-08 VfB Stuttgart-Union Berlin,3,2023,23289,2024-03-08 19:30:00,133,240,VfB Stuttgart,Union Berlin,UNI,STU,2,0,1.30933,0.839212,True,True,https://understat.com/match/23289
GER-Bundesliga,2324,2024-03-09 Augsburg-FC Heidenheim,3,2023,23288,2024-03-09 14:30:00,121,280,Augsburg,FC Heidenheim,HEI,AUG,1,0,0.740927,0.267511,True,True,https://understat.com/match/23288
GER-Bundesliga,2324,2024-03-09 Bayern Munich-Mainz 05,3,2023,23281,2024-03-09 14:30:00,117,125,Bayern Munich,Mainz 05,MAI,BAY,8,1,6.78137,1.07439,True,True,https://understat.com/match/23281
GER-Bundesliga,2324,2024-03-09 Borussia M.Gladbach-FC Cologne,3,2023,23285,2024-03-09 14:30:00,130,134,Borussia M.Gladbach,FC Cologne,COL,BMG,3,3,2.54696,0.924707,True,True,https://understat.com/match/23285
GER-Bundesliga,2324,2024-03-09 RasenBallsport Leipzig-Darmstadt,3,2023,23282,2024-03-09 14:30:00,136,127,RasenBallsport Leipzig,Darmstadt,DAR,RBL,2,0,4.25377,0.394275,True,True,https://understat.com/match/23282
GER-Bundesliga,2324,2024-03-09 Werder Bremen-Borussia Dortmund,3,2023,23286,2024-03-09 17:30:00,123,129,Werder Bremen,Borussia Dortmund,DOR,WER,1,2,1.34789,1.23563,True,True,https://understat.com/match/23286
GER-Bundesliga,2324,2024-03-10 Bayer Leverkusen-Wolfsburg,3,2023,23283,2024-03-10 18:30:00,119,131,Bayer Leverkusen,Wolfsburg,WOL,LEV,2,0,2.09982,0.354851,True,True,https://understat.com/match/23283
GER-Bundesliga,2324,2024-03-10 Bochum-Freiburg,3,2023,23287,2024-03-10 14:30:00,268,135,Bochum,Freiburg,FRE,BOC,1,2,1.28237,1.43573,True,True,https://understat.com/match/23287
